"ZONA";"NOM_LOCALIDADE";"NOM_LOCAL";"ENDEREÄO_LOCAL";"BAIRRO_LOCAL";"CEP";"NñMERO DAS SEÄôES";"QTDE. DE SEÄôES";"APTOS"
21;"ACAJUTIBA";"CNEC";"PRAÄA RUI BARBOSA - ZONA URBANA";"CENTRO";48360000;"85,86,90,91,99,100";6;1607
21;"ACAJUTIBA";"COLEGIO MUNICIPAL JOSE RAMOS DE ARAUJO";"RUA J J SEABRA, S/N - ZONA URBANA";"CENTRO";48360000;"87,88,89";3;706
21;"ACAJUTIBA";"PREDIO RURAL PROFESSORA MARIA ESPERANCA";"RUA SEVERINO VIEIRA, S/N - ZONA URBANA  ";"CENTRO";48360000;"94,95,96,97,98";5;1642
21;"ACAJUTIBA";"ESCOLA PROFESSOR CARLOS BARROS";"RUA SOUZA BRITO - ZONA URBANA";"CENTRO";48360000;"101,102,190";3;1109
21;"ACAJUTIBA";"COLEGIO DO TIJUCO";"RUA DO TIJUCO - ZONA URBANA";"CENTRO";48360000;103,104;2;795
21;"ACAJUTIBA";"COLEGIO MUNICIPAL ANTONIO CARLOS MAGALHAES";"RUA SATURNINO DE MENEZES  - ZONA URBANA";"CENTRO";48360000;"105,106,107";3;925
21;"ACAJUTIBA";"CENTRO CULTURAL DE ACAJUTIBA";"RUA ADALTO MOTA BRITO - ZONA URBANA";"CENTRO";48360000;110,111;2;676
21;"ACAJUTIBA";"ESCOLA MUNICIPAL DE CANATUBIÜ";"POVOADO CANATUBIÜ - ZONA RURAL";"POVOADO CANATUBIA";48360000;120,135;2;576
21;"ACAJUTIBA";"ESCOLA MUNICIPAL MARAMBAIA";"POVOADO MARAMBAIA - ZONA RURAL";"POVOADO MARAMBAIA";48360000;"119,130,189";3;888
21;"ACAJUTIBA";"ESCOLA MUNICIPAL SACO DO ROCHA";"POVOADO SACO DO ROCHA - ZONA RURAL";"POVOADO SACO DO ROCHA";48360000;118,184;2;708
21;"ACAJUTIBA";"ESCOLA MUNICIPAL BEDO FERREIRA BRITO";"RUA BEDO FERREIRA BRITO, S/N - ZONA RURAL";"POVOADO RETIRO";48360000;134,203;2;575
21;"ACAJUTIBA";"COLêGIO ESTADUAL ANT‚NIO DA COSTA BRITO";"RUA JOéO MACHADO, S/N - ZONA URBANA";"CENTRO";48360000;"81,82,83,84,92,93";6;2030
21;"CONDE";"CENTRO INTEGRADO DE EDUCAÄéO DE CONDE - CIEC";"RUA JOéO IZIDORIO LINS S/N - ZONA URBANA";"CENTRO";48300000;"142,143,144,145,146,147,178,207";8;2594
21;"CONDE";"GRUPO ESCOLAR C‚NEGO RODOLFO DUARTE GUIMARéES";"VILA DO CONDE - ZONA RURAL";"VILA DO CONDE";48370000;"148,149,150,193";4;1591
21;"CONDE";"ESCOLA MUNICIPAL EDUARDO DE ALMEIDA LINS";"POVOADO DE ALTAMIRA - ZONA RURAL";"POVOADO ALTAMIRA";48300000;"151,152,153,188";4;1594
21;"CONDE";"ESCOLA MUNICIPAL EDUARDO CAVALCANTE LINS";"RUA ARSâNIO MENDES S/N - ZONA RURAL";"POVOADO SãTIO DO CONDE";48300000;"154,155,156";3;978
21;"CONDE";"GRUPO ESCOLAR  WALTER DE CARVALHO";"AVENIDA OITO DE SETEMBRO S/N - ZONA URBANA";"VILA DO CONDE";48300000;"157,158,159,160,161";5;1233
